,Unnamed: 0.1,Unnamed: 0,env_step,episode,episode_reward,eval_total_time,frame,step,time,env,seed,agent,_step
42,42.0,1.0,26000.0,25.0,10.5,95.5224437713623,26000.0,13000.0,95.52239847183228,reacher-hard,944,TCRL,
43,43.0,2.0,51000.0,50.0,84.4,228.04813623428345,51000.0,25500.0,228.0480914115905,reacher-hard,944,TCRL,
44,44.0,3.0,76000.0,75.0,387.9,363.2562847137451,76000.0,38000.0,363.2562348842621,reacher-hard,944,TCRL,
45,45.0,4.0,101000.0,100.0,67.3,499.9626348018646,101000.0,50500.0,499.9625813961029,reacher-hard,944,TCRL,
46,46.0,5.0,126000.0,125.0,691.4,638.8737919330597,126000.0,63000.0,638.8737442493439,reacher-hard,944,TCRL,
47,47.0,6.0,151000.0,150.0,461.0,779.1521558761597,151000.0,75500.0,779.1521093845367,reacher-hard,944,TCRL,
48,48.0,7.0,176000.0,175.0,563.7,921.1722409725188,176000.0,88000.0,921.1721882820128,reacher-hard,944,TCRL,
49,49.0,8.0,201000.0,200.0,573.2,1064.8274328708649,201000.0,100500.0,1064.8273856639862,reacher-hard,944,TCRL,
50,50.0,9.0,226000.0,225.0,470.2,1209.6841316223145,226000.0,113000.0,1209.6840872764587,reacher-hard,944,TCRL,
51,51.0,10.0,251000.0,250.0,799.5,1356.498514175415,251000.0,125500.0,1356.4984662532806,reacher-hard,944,TCRL,
52,52.0,11.0,276000.0,275.0,742.5,1504.627048254013,276000.0,138000.0,1504.627001285553,reacher-hard,944,TCRL,
53,53.0,12.0,301000.0,300.0,869.2,1654.4558556079865,301000.0,150500.0,1654.4558084011078,reacher-hard,944,TCRL,
54,54.0,13.0,326000.0,325.0,880.5,1805.524065494537,326000.0,163000.0,1805.524020910263,reacher-hard,944,TCRL,
55,55.0,14.0,351000.0,350.0,907.4,1957.872890472412,351000.0,175500.0,1957.8728387355804,reacher-hard,944,TCRL,
56,56.0,15.0,376000.0,375.0,902.6,2111.3335688114166,376000.0,188000.0,2111.333523273468,reacher-hard,944,TCRL,
57,57.0,16.0,401000.0,400.0,953.6,2266.6423778533936,401000.0,200500.0,2266.642330646515,reacher-hard,944,TCRL,
58,58.0,17.0,426000.0,425.0,946.9,2422.3666009902954,426000.0,213000.0,2422.3665537834167,reacher-hard,944,TCRL,
59,59.0,18.0,451000.0,450.0,892.0,2579.8202936649323,451000.0,225500.0,2579.8202476501465,reacher-hard,944,TCRL,
60,60.0,19.0,476000.0,475.0,966.8,2738.5604689121246,476000.0,238000.0,2738.560421705246,reacher-hard,944,TCRL,
61,61.0,20.0,501000.0,500.0,968.2,2898.180050134659,501000.0,250500.0,2898.18000459671,reacher-hard,944,TCRL,
62,62.0,21.0,526000.0,525.0,950.0,3059.9854311943054,526000.0,263000.0,3059.985384464264,reacher-hard,944,TCRL,
63,63.0,22.0,551000.0,550.0,970.1,3222.1844918727875,551000.0,275500.0,3222.184446573257,reacher-hard,944,TCRL,
64,64.0,23.0,576000.0,575.0,961.7,3386.0931644439697,576000.0,288000.0,3386.0931162834167,reacher-hard,944,TCRL,
65,65.0,24.0,601000.0,600.0,958.7,3550.964656829834,601000.0,300500.0,3550.964592695236,reacher-hard,944,TCRL,
66,66.0,25.0,626000.0,625.0,959.7,3717.349906921386,626000.0,313000.0,3717.3498616218567,reacher-hard,944,TCRL,
67,67.0,26.0,651000.0,650.0,964.4,3884.694607019424,651000.0,325500.0,3884.694563150406,reacher-hard,944,TCRL,
68,68.0,27.0,676000.0,675.0,973.3,4054.4960770607,676000.0,338000.0,4054.4960231781006,reacher-hard,944,TCRL,
69,69.0,28.0,701000.0,700.0,969.6,4223.305542469025,701000.0,350500.0,4223.3054938316345,reacher-hard,944,TCRL,
70,70.0,29.0,726000.0,725.0,963.7,4393.967008829117,726000.0,363000.0,4393.966965198517,reacher-hard,944,TCRL,
71,71.0,30.0,751000.0,750.0,963.7,4565.024174451828,751000.0,375500.0,4565.024128437042,reacher-hard,944,TCRL,
72,72.0,31.0,776000.0,775.0,903.5,4737.763697385788,776000.0,388000.0,4737.763643741608,reacher-hard,944,TCRL,
73,73.0,32.0,801000.0,800.0,957.9,4911.359600067139,801000.0,400500.0,4911.359552145004,reacher-hard,944,TCRL,
74,74.0,33.0,826000.0,825.0,862.2,5086.201540708542,826000.0,413000.0,5086.201498746872,reacher-hard,944,TCRL,
75,75.0,34.0,851000.0,850.0,965.4,5261.919428348541,851000.0,425500.0,5261.919378757477,reacher-hard,944,TCRL,
76,76.0,35.0,876000.0,875.0,965.0,5438.943598747253,876000.0,438000.0,5438.943554639816,reacher-hard,944,TCRL,
77,77.0,36.0,901000.0,900.0,961.9,5617.220075368881,901000.0,450500.0,5617.220031738281,reacher-hard,944,TCRL,
78,78.0,37.0,926000.0,925.0,960.2,5796.526705741882,926000.0,463000.0,5796.526661872864,reacher-hard,944,TCRL,
79,79.0,38.0,951000.0,950.0,969.9,5976.861448287964,951000.0,475500.0,5976.861401081085,reacher-hard,944,TCRL,
80,80.0,39.0,976000.0,975.0,968.8,6158.078228712082,976000.0,488000.0,6158.078185081482,reacher-hard,944,TCRL,
81,81.0,40.0,1001000.0,1000.0,888.9,6340.570652246475,1001000.0,500500.0,6340.570597648621,reacher-hard,944,TCRL,
82,82.0,0.0,1000.0,0.0,0.4,7.47955584526062,1000.0,500.0,7.479475736618042,reacher-hard,637,TCRL,
83,83.0,1.0,26000.0,25.0,1.4,89.84546160697937,26000.0,13000.0,89.84541058540344,reacher-hard,637,TCRL,
84,84.0,2.0,51000.0,50.0,90.2,213.6854698657989,51000.0,25500.0,213.6854202747345,reacher-hard,637,TCRL,
85,85.0,3.0,76000.0,75.0,381.2,339.57446336746216,76000.0,38000.0,339.5744125843048,reacher-hard,637,TCRL,
86,86.0,4.0,101000.0,100.0,288.5,467.0799925327301,101000.0,50500.0,467.0799427032471,reacher-hard,637,TCRL,
87,87.0,5.0,126000.0,125.0,440.0,597.1098575592041,126000.0,63000.0,597.1098020076752,reacher-hard,637,TCRL,
88,88.0,6.0,151000.0,150.0,475.8,728.461189031601,151000.0,75500.0,728.4611237049103,reacher-hard,637,TCRL,
89,89.0,7.0,176000.0,175.0,589.4,861.1995124816895,176000.0,88000.0,861.1994528770447,reacher-hard,637,TCRL,
90,90.0,8.0,201000.0,200.0,378.4,995.3252079486848,201000.0,100500.0,995.3251485824584,reacher-hard,637,TCRL,
91,91.0,9.0,226000.0,225.0,576.0,1130.9770951271057,226000.0,113000.0,1130.9770448207855,reacher-hard,637,TCRL,
92,92.0,10.0,251000.0,250.0,377.9,1268.7237615585327,251000.0,125500.0,1268.7237083911896,reacher-hard,637,TCRL,
93,93.0,11.0,276000.0,275.0,654.7,1407.873718500137,276000.0,138000.0,1407.8736593723297,reacher-hard,637,TCRL,
94,94.0,12.0,301000.0,300.0,829.7,1548.721396446228,301000.0,150500.0,1548.7213463783264,reacher-hard,637,TCRL,
95,95.0,13.0,326000.0,325.0,851.2,1690.959914445877,326000.0,163000.0,1690.959861755371,reacher-hard,637,TCRL,
96,96.0,14.0,351000.0,350.0,642.5,1835.5405972003937,351000.0,175500.0,1835.5405387878416,reacher-hard,637,TCRL,
97,97.0,15.0,376000.0,375.0,604.7,1980.332694530487,376000.0,188000.0,1980.3326342105863,reacher-hard,637,TCRL,
98,98.0,16.0,401000.0,400.0,289.5,2126.782739639282,401000.0,200500.0,2126.782679796219,reacher-hard,637,TCRL,
99,99.0,17.0,426000.0,425.0,654.1,2274.0003345012665,426000.0,213000.0,2274.0002784729004,reacher-hard,637,TCRL,
100,100.0,18.0,451000.0,450.0,733.8,2422.8344526290894,451000.0,225500.0,2422.834397792816,reacher-hard,637,TCRL,
101,101.0,19.0,476000.0,475.0,944.1,2572.56285405159,476000.0,238000.0,2572.562799692154,reacher-hard,637,TCRL,
102,102.0,20.0,501000.0,500.0,817.7,2723.3492262363434,501000.0,250500.0,2723.349166154861,reacher-hard,637,TCRL,
103,103.0,21.0,526000.0,525.0,943.7,2875.6805238723755,526000.0,263000.0,2875.6804599761963,reacher-hard,637,TCRL,
104,104.0,22.0,551000.0,550.0,954.0,3028.974923610688,551000.0,275500.0,3028.9748656749725,reacher-hard,637,TCRL,
105,105.0,23.0,576000.0,575.0,760.3,3187.2851746082306,576000.0,288000.0,3187.285113334656,reacher-hard,637,TCRL,
106,106.0,24.0,601000.0,600.0,846.7,3339.1814811229706,601000.0,300500.0,3339.1814284324646,reacher-hard,637,TCRL,
107,107.0,25.0,626000.0,625.0,926.3,3494.0127506256104,626000.0,313000.0,3494.01269865036,reacher-hard,637,TCRL,
108,108.0,26.0,651000.0,650.0,952.6,3649.7115166187286,651000.0,325500.0,3649.7114613056174,reacher-hard,637,TCRL,
109,109.0,27.0,676000.0,675.0,956.0,3806.381971597672,676000.0,338000.0,3806.381916999817,reacher-hard,637,TCRL,
110,110.0,28.0,701000.0,700.0,958.5,3964.034616470337,701000.0,350500.0,3964.034562587738,reacher-hard,637,TCRL,
111,111.0,29.0,726000.0,725.0,953.5,4122.627844810486,726000.0,363000.0,4122.627792358398,reacher-hard,637,TCRL,
112,112.0,30.0,751000.0,750.0,955.6,4278.40495467186,751000.0,375500.0,4278.4049026966095,reacher-hard,637,TCRL,
113,113.0,31.0,776000.0,775.0,952.2,4432.377112865448,776000.0,388000.0,4432.3770616054535,reacher-hard,637,TCRL,
114,114.0,32.0,801000.0,800.0,956.8,4588.6599888801575,801000.0,400500.0,4588.65993976593,reacher-hard,637,TCRL,
115,115.0,33.0,826000.0,825.0,924.0,4746.376739740372,826000.0,413000.0,4746.376682043076,reacher-hard,637,TCRL,
116,116.0,34.0,851000.0,850.0,959.5,4905.705377578735,851000.0,425500.0,4905.705325603485,reacher-hard,637,TCRL,
117,117.0,35.0,876000.0,875.0,957.0,5067.053775072098,876000.0,438000.0,5067.053722143173,reacher-hard,637,TCRL,
118,118.0,36.0,901000.0,900.0,954.9,5230.775953292847,901000.0,450500.0,5230.775902271271,reacher-hard,637,TCRL,
119,119.0,37.0,926000.0,925.0,950.6,5396.320103883743,926000.0,463000.0,5396.320053577423,reacher-hard,637,TCRL,
120,120.0,38.0,951000.0,950.0,953.7,5563.747973680496,951000.0,475500.0,5563.747925043106,reacher-hard,637,TCRL,
